User,Item,Rating
A,1,5
B,1,5
C,1,4
D,1,
E,1,2
F,1,1
G,1,1
H,1,2
I,1,3
J,1,2
K,1,1
L,1,3
M,1,
N,1,
O,1,
P,1,
A,2,4
B,2,4
C,2,5
D,2,5
E,2,
F,2,1
G,2,1
H,2,1
I,2,1
J,2,3
K,2,3
L,2,3
M,2,
N,2,2
O,2,
P,2,2
A,3,5
B,3,5
C,3,
D,3,
E,3,2
F,3,2
G,3,2
H,3,1
I,3,1
J,3,1
K,3,3
L,3,
M,3,
N,3,3
O,3,3
P,3,1
A,4,
B,4,
C,4,
D,4,4
E,4,2
F,4,2
G,4,1
H,4,
I,4,
J,4,
K,4,
L,4,1
M,4,1
N,4,3
O,4,2
P,4,1
A,5,4
B,5,
C,5,
D,5,5
E,5,2
F,5,3
G,5,1
H,5,
I,5,1
J,5,1
K,5,
L,5,2
M,5,3
N,5,
O,5,2
P,5,
A,6,1
B,6,
C,6,2
D,6,
E,6,5
F,6,4
G,6,4
H,6,
I,6,1
J,6,2
K,6,2
L,6,3
M,6,1
N,6,2
O,6,1
P,6,
A,7,2
B,7,3
C,7,1
D,7,1
E,7,4
F,7,4
G,7,5
H,7,5
I,7,1
J,7,
K,7,
L,7,2
M,7,1
N,7,
O,7,
P,7,1
A,8,
B,8,2
C,8,1
D,8,2
E,8,5
F,8,
G,8,4
H,8,5
I,8,1
J,8,
K,8,
L,8,1
M,8,
N,8,1
O,8,
P,8,2
A,9,3
B,9,
C,9,2
D,9,
E,9,4
F,9,4
G,9,
H,9,5
I,9,1
J,9,3
K,9,3
L,9,
M,9,3
N,9,2
O,9,1
P,9,
A,10,1
B,10,1
C,10,
D,10,
E,10,4
F,10,4
G,10,4
H,10,
I,10,
J,10,1
K,10,2
L,10,2
M,10,
N,10,2
O,10,1
P,10,
A,11,
B,11,
C,11,
D,11,
E,11,2
F,11,1
G,11,1
H,11,2
I,11,5
J,11,4
K,11,5
L,11,4
M,11,2
N,11,1
O,11,
P,11,1
A,12,1
B,12,2
C,12,1
D,12,
E,12,
F,12,
G,12,1
H,12,3
I,12,4
J,12,
K,12,5
L,12,4
M,12,2
N,12,
O,12,2
P,12,2
A,13,1
B,13,1
C,13,
D,13,
E,13,
F,13,
G,13,2
H,13,
I,13,5
J,13,
K,13,5
L,13,5
M,13,1
N,13,2
O,13,1
P,13,2
A,14,1
B,14,1
C,14,2
D,14,
E,14,
F,14,
G,14,
H,14,
I,14,
J,14,5
K,14,4
L,14,5
M,14,2
N,14,
O,14,1
P,14,1
A,15,
B,15,
C,15,
D,15,
E,15,
F,15,
G,15,
H,15,3
I,15,5
J,15,
K,15,4
L,15,5
M,15,1
N,15,1
O,15,1
P,15,1
A,16,2
B,16,2
C,16,
D,16,3
E,16,1
F,16,
G,16,
H,16,1
I,16,1
J,16,
K,16,
L,16,
M,16,5
N,16,4
O,16,5
P,16,4
A,17,1
B,17,
C,17,
D,17,1
E,17,
F,17,
G,17,
H,17,2
I,17,3
J,17,
K,17,
L,17,
M,17,
N,17,4
O,17,5
P,17,5
A,18,
B,18,
C,18,
D,18,
E,18,
F,18,
G,18,
H,18,
I,18,1
J,18,
K,18,1
L,18,
M,18,4
N,18,4
O,18,5
P,18,5
A,19,
B,19,
C,19,1
D,19,1
E,19,
F,19,2
G,19,
H,19,2
I,19,
J,19,
K,19,
L,19,
M,19,4
N,19,
O,19,5
P,19,
A,20,1
B,20,
C,20,2
D,20,
E,20,
F,20,3
G,20,
H,20,
I,20,1
J,20,
K,20,2
L,20,
M,20,5
N,20,5
O,20,4
P,20,
A,21,4
B,21,2
C,21,1
D,21,4
E,21,3
F,21,2
G,21,1
H,21,2
I,21,1
J,21,2
K,21,1
L,21,4
M,21,3
N,21,4
O,21,1
P,21,4
A,22,1
B,22,2
C,22,4
D,22,3
E,22,4
F,22,1
G,22,2
H,22,4
I,22,2
J,22,3
K,22,3
L,22,3
M,22,1
N,22,4
O,22,2
P,22,4
A,23,1
B,23,2
C,23,4
D,23,4
E,23,3
F,23,1
G,23,4
H,23,2
I,23,4
J,23,1
K,23,3
L,23,4
M,23,4
N,23,2
O,23,4
P,23,1
A,24,2
B,24,4
C,24,1
D,24,3
E,24,4
F,24,2
G,24,4
H,24,1
I,24,4
J,24,3
K,24,4
L,24,4
M,24,4
N,24,2
O,24,3
P,24,3
A,25,2
B,25,1
C,25,4
D,25,2
E,25,2
F,25,1
G,25,1
H,25,1
I,25,4
J,25,4
K,25,1
L,25,2
M,25,4
N,25,5
O,25,2
P,25,1
